
" "
"(http://www.ssb.no/befolkning/artikler-og-publikasjoner/dokumentasjon-"
"-av-kommunetabeller-over-folkemengdens-bevegelse-1906-1968 "
"target=footnote) Dokumentasjon av kommunetabeller over folkemengdens "
"bevegelse 1906-1968 ."

"Before 1816 estimated mean population."

"Before 1951 migration overseas only."

